T	43.186270000	-95.983360000	436.2	90.0	1.0	31.9218	99.99		
T	43.186280000	-95.982400000	436.1	89.2	-0.1	31.9998	78.05		
T	43.186280000	-95.981440000	436.3	90.0	0.3	32.0779	78.04		
T	43.186270000	-95.981150000	436.5	92.7	0.9	32.1015	23.60		
T	43.186270000	-95.980150000	437.6	90.0	1.4	32.1828	81.29		
T	43.186280000	-95.979770000	438.3	87.9	2.3	32.2137	30.91		
T	43.186280000	-95.979170000	439.1	90.0	1.6	32.2625	48.78		
T	43.186280000	-95.978390000	439.1	90.0	0.0	32.3259	63.41		
T	43.186280000	-95.977360000	439.1	90.0	0.0	32.4096	83.73		
T	43.186290000	-95.977050000	439.1	87.5	0.0	32.4348	25.23		
T	43.186290000	-95.974850000	439.1	90.0	0.0	32.6137	178.85		
T	43.186290000	-95.974330000	439.1	90.0	0.0	32.6560	42.27		
T	43.186280000	-95.973660000	439.1	91.2	0.0	32.7104	54.48		
T	43.186280000	-95.972730000	440.0	90.0	1.2	32.7860	75.60		
T	43.186260000	-95.971850000	440.0	91.8	0.0	32.8576	71.57		
T	43.186250000	-95.971250000	439.6	91.3	-0.8	32.9064	48.79		
T	43.186230000	-95.970600000	439.5	92.4	-0.2	32.9593	52.89		
T	43.186230000	-95.970440000	439.5	90.0	0.0	32.9723	13.01		
T	43.186190000	-95.969440000	439.3	93.1	-0.2	33.0537	81.42		
T	43.186160000	-95.968570000	439.1	92.7	-0.3	33.1245	70.80		
T	43.186130000	-95.967870000	439.1	93.4	0.0	33.1815	57.00		
T	43.186090000	-95.967190000	439.1	94.6	0.0	33.2370	55.46		
T	43.186040000	-95.966180000	439.1	93.9	0.0	33.3193	82.30		
T	43.185980000	-95.965220000	439.1	94.9	0.0	33.3976	78.33		
T	43.185930000	-95.964500000	439.1	95.4	0.0	33.4564	58.80		
T	43.185860000	-95.963670000	439.1	96.6	0.0	33.5243	67.92		
T	43.185820000	-95.963070000	439.1	95.2	0.0	33.5733	48.98		
T	43.185800000	-95.962820000	439.1	96.3	0.0	33.5937	20.44		
T	43.185710000	-95.961820000	439.1	97.0	0.0	33.6756	81.91		
T	43.185660000	-95.961250000	439.1	96.9	0.0	33.7223	46.67		
T	43.185630000	-95.960960000	439.1	98.1	0.0	33.7461	23.81		
T	43.185550000	-95.960180000	439.0	98.0	-0.2	33.8102	64.03		
T	43.185490000	-95.959530000	438.7	97.2	-0.6	33.8634	53.26		
T	43.185380000	-95.958550000	438.4	98.8	-0.4	33.9440	80.60		
T	43.185280000	-95.957670000	438.0	98.9	-0.6	34.0164	72.40		
T	43.185180000	-95.956780000	437.5	98.8	-0.7	34.0896	73.20		
T	43.185080000	-95.955940000	437.0	99.3	-0.7	34.1588	69.19		
T	43.184980000	-95.955050000	436.4	98.8	-0.8	34.2320	73.20		
T	43.184900000	-95.954280000	436.1	98.1	-0.5	34.2952	63.23		
T	43.184890000	-95.954150000	436.1	96.0	0.0	34.3059	10.63		
T	43.184880000	-95.954060000	436.1	98.7	0.0	34.3133	7.40		
T	43.184870000	-95.953970000	436.1	98.7	0.0	34.3207	7.40		
T	43.184860000	-95.953780000	436.1	94.1	0.0	34.3361	15.49		
T	43.184850000	-95.953610000	436.1	94.6	0.0	34.3500	13.86		
T	43.184840000	-95.953460000	436.1	95.2	0.0	34.3622	12.24		
T	43.184840000	-95.953280000	436.1	90.0	0.0	34.3769	14.63		
T	43.184830000	-95.953150000	436.0	96.0	-0.9	34.3875	10.63		
T	43.184840000	-95.952860000	435.9	87.3	-0.4	34.4111	23.60		
T	43.184840000	-95.952630000	435.8	90.0	-0.5	34.4298	18.70		
T	43.184840000	-95.952440000	435.8	90.0	0.0	34.4453	15.45		
T	43.184850000	-95.952220000	435.8	86.4	0.0	34.4632	17.92		
T	43.184860000	-95.952070000	435.8	84.8	0.0	34.4754	12.24		
T	43.184870000	-95.951920000	435.8	84.8	0.0	34.4877	12.24		
T	43.184890000	-95.951630000	435.9	84.6	0.4	34.5113	23.68		
T	43.184900000	-95.951470000	436.2	85.1	2.3	34.5244	13.05		
T	43.184920000	-95.951310000	436.7	80.3	3.8	34.5376	13.20		
T	43.184970000	-95.950880000	437.2	80.9	1.4	34.5730	35.40		
T	43.184990000	-95.950760000	437.1	77.1	-1.0	34.5830	10.01		
T	43.185010000	-95.950600000	437.0	80.3	-0.8	34.5962	13.20		
T	43.185040000	-95.950420000	436.9	77.1	-0.7	34.6112	15.01		
