type	latitude	longitude	altitude (m)	course	slope (%)	distance (km)	distance_interval (m)	slope corrected
1	43.227618	-95.831427	439.1	22.2	0	45.759	280.94	0
1	43.231614	-95.829178	436	22.3	-0.6	46.239	480.07	-0.6
1	43.233598	-95.828057	436	22.4	0	46.4775	238.49	0
1	43.235582	-95.826935	436	22.4	0	46.716	238.52	0
1	43.237565	-95.825814	437.2	22.4	0.5	46.9544	238.38	0.5
1	43.239549	-95.824692	436.1	22.4	-0.5	47.1929	238.51	-0.5
1	43.242187	-95.823239	436.1	21.9	0	47.5089	315.94	0
1	43.24396	-95.82226	436.1	21.9	0	47.7213	212.42	0
1	43.244134	-95.822163	436.1	22.1	0	47.7422	20.87	0
1	43.244166	-95.818724	434.7	89.3	-0.5	48.0215	279.33	-0.5
1	43.244207	-95.815091	433.5	89.1	-0.4	48.3166	295.1	-0.4
1	43.244253	-95.810291	436.4	89.2	0.7	48.7065	389.88	0.7
1	43.244276	-95.807431	436.4	89.4	0	48.9388	232.3	0
1	43.244299	-95.804572	436.7	89.4	0.1	49.171	232.21	0.1
1	43.244302	-95.800039	438.8	89.9	0.6	49.5391	368.16	0.6
1	43.244294	-95.796807	439.1	90.2	0.1	49.8016	262.5	0.1
1	43.244286	-95.793576	439.7	90.2	0.2	50.0641	262.41	0.2
1	43.244278	-95.790345	441.1	90.2	0.5	50.3265	262.41	0.5
1	43.24427	-95.787113	442.3	90.2	0.5	50.589	262.5	0.5
1	43.244262	-95.783882	439.2	90.2	-1.2	50.8514	262.41	-1.2
1	43.244273	-95.779967	440.4	89.8	0.4	51.1693	317.97	0.4
1	43.244287	-95.776874	443	89.6	1	51.4206	251.21	1
1	43.244295	-95.772815	445.7	89.8	0.8	51.7502	329.66	0.8
1	43.2443	-95.76957	443.2	89.9	-1	52.0138	263.55	-0.9
1	43.244306	-95.766325	439.5	89.9	-1.4	52.2773	263.55	-1.4
1	43.244314	-95.761304	438.8	89.9	-0.2	52.6851	407.79	-0.2
1	43.244318	-95.758938	441	89.9	1.1	52.8773	192.16	1.1
1	43.244337	-95.753761	439.8	89.7	-0.3	53.2977	420.47	-0.3
1	43.244333	-95.751443	440.8	90.1	0.5	53.486	188.26	0.5
1	43.244324	-95.747877	441.8	90.2	0.3	53.7756	289.62	0.3
1	43.244339	-95.745485	440.5	89.5	-0.7	53.9699	194.28	-0.7
1	43.244324	-95.741374	444.6	90.3	1.2	54.3038	333.89	1.2
1	43.244284	-95.737526	449.1	90.8	1.4	54.6163	312.56	1.4
1	43.244257	-95.734711	450.6	90.8	0.7	54.845	228.65	0.7
1	43.244222	-95.730741	442.8	90.7	-2.4	55.1674	322.46	-2.4
1	43.244189	-95.726833	444.9	90.7	0.7	55.4849	317.42	0.7
1	43.244168	-95.724336	446.1	90.7	0.6	55.6877	202.81	0.6
1	43.24416	-95.72336	446.2	90.6	0.1	55.767	79.27	0.1
1	43.245725	-95.723429	448.7	358.2	1.4	55.9409	173.96	1.4
1	43.249337	-95.72344	457.4	359.9	2.2	56.3422	401.29	2.2
1	43.252204	-95.723454	460.5	359.8	1	56.6607	318.52	1
1	43.254169	-95.723468	460.4	359.7	0	56.879	218.31	0
1	43.256133	-95.723483	460.5	359.7	0	57.0972	218.2	0
1	43.258928	-95.723513	461.3	359.6	0.3	57.4078	310.53	0.3
1	43.262423	-95.72357	465.6	359.3	1.1	57.7961	388.31	1.1
1	43.264607	-95.72361	463.8	359.2	-0.7	58.0387	242.66	-0.7
1	43.26679	-95.72365	463.7	359.2	0	58.2813	242.55	0
1	43.268973	-95.72369	467.3	359.2	1.5	58.5238	242.55	1.5
1	43.271157	-95.72373	472.6	359.2	2.2	58.7665	242.66	2.2
1	43.27271	-95.72376	473.2	359.2	0.3	58.939	172.55	0.3
1	43.272754	-95.721286	469.5	88.6	-1.8	59.1399	200.9	-1.8
1	43.272759	-95.718811	467.3	89.8	-1.1	59.3409	200.92	-1.1
1	43.272771	-95.715163	467.3	89.7	0	59.637	296.15	0
1	43.272793	-95.710434	467.5	89.6	0.1	60.0209	383.9	0.1
1	43.272805	-95.708188	466.2	89.6	-0.7	60.2032	182.33	-0.7
1	43.272825	-95.704819	460.9	89.5	-1.9	60.4767	273.5	-1.9
1	43.272821	-95.69916	466.4	90.1	1.2	60.9361	459.39	1.2
1	43.272812	-95.69639	464.1	90.3	-1	61.161	224.87	-1
1	43.272803	-95.69362	461.5	90.3	-1.2	61.3859	224.87	-1.2
1	43.272794	-95.690849	458	90.3	-1.6	61.6108	224.95	-1.6
1	43.272794	-95.686711	455.4	90	-0.8	61.9467	335.92	-0.8
1	43.272798	-95.683932	454.3	89.9	-0.5	62.1723	225.6	-0.5
1	43.272805	-95.67997	454.7	89.9	0.1	62.494	321.63	0.1
1	43.272809	-95.677171	459	89.9	1.9	62.7212	227.22	1.9
1	43.272829	-95.67346	463.5	89.6	1.5	63.0225	301.26	1.5
1	43.272849	-95.67009	466.6	89.5	1.1	63.296	273.58	1.1
1	43.272868	-95.66672	466.9	89.6	0.1	63.5696	273.58	0.1
1	43.272894	-95.661435	467.3	89.6	0.1	63.9987	429.04	0.1
1	43.272908	-95.65829	469.4	89.6	0.8	64.254	255.31	0.8
1	43.272922	-95.655145	472.7	89.6	1.3	64.5093	255.31	1.3
1	43.272936	-95.652001	472.9	89.6	0.1	64.7645	255.23	0.1
1	43.272949	-95.648856	472.6	89.7	-0.1	65.0198	255.31	-0.1
1	43.272963	-95.645711	472	89.6	-0.2	65.2751	255.31	-0.2
